0,1,2,3,4
0.020673660590837303,0.9488697123410328,1.0,0.9886131139898701,0.6013989643373433
0.015181103040729192,0.8687457769119507,1.0,0.5190000703005396,1.0
0.12338334760255634,0.8863287155376876,0.4227837894841719,1.0,1.0
0.051634517311009535,0.9285747419311361,1.0,1.0,0.5498386784151769
0.05689618296008605,0.9068472787077001,0.7604364778924738,0.9161490935462232,1.0
0.0,0.8855179929949465,1.0,0.522749246854442,1.0
0.42824433138124823,0.6253826592112209,1.0,0.9165407287697722,1.0
0.0004387317406170395,1.0,0.3857180318988675,1.0,1.0
0.0,1.0,0.5382053609981436,1.0,0.8541605231414718
0.5533302731153854,1.0,0.45844336048548423,1.0,1.0
0.0,0.5359523093301474,1.0,0.49510832703395957,1.0
0.0,1.0,1.0,1.0,1.0
0.0,0.717974430205934,1.0,1.0,0.39715577334087226
0.0,1.0,1.0,1.0,1.0
0.7121207434557132,1.0,1.0,1.0,1.0
0.0,0.7193302961207199,0.40568177827478763,1.0,1.0
0.030639790378332248,0.9387649109482088,1.0,1.0,0.4332121683594373
0.0,0.582698497323751,1.0,0.40010443678048113,1.0
