0,1,2,3,4,5,6,7,8,9
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.8535466322809461,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.7709762764211601,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.9059266166250631,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.4489665634550573,1.0,0.35096821137932216,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.0,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.502448950023302,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.31339153128936664,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.0,1.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.0,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.3127050076675779,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.45110557404827567,1.0,0.3425995141665466,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.5024678281160575,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.5386047335398874,0.5738220585646604,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.17929826554697478,0.9858543358359938
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.7314674060612552,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.6781629118135611,0.0,1.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.11543816902361016,0.3287740101619464
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.0,0.3755391747774634,0.3932882294851182
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.12470402361164602,0.4141707029087618
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,1.0,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.10127781976987753,0.24654540501011163
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.5288714619758346,0.6593252348074489,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.2430654444744236,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.9286943664956065,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.5993604948902255,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.5849138221600917,0.0,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.3339331968239281,1.0,0.12500549635612432,0.20793840308575617
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.6552296685255246,1.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.4148549050801348,1.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.1514326012837802,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.2732485000961395,1.0,0.22878544715296148,0.21744425458721475
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.41247583900058776,1.0,0.0,0.1847948615254225
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.6721328579546535,0.3158852152482226,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.40911312299591945,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,0.4315398834881414,0.0,0.24016214669713504
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.8593523391451675,0.0,0.0,0.33932376876283693
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.8293189920786787,0.0,0.0,0.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.6661681266539502,0.3099008819819749,0.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.9131901207225785,0.0,0.0,0.43725137234781747
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.4091057491408685,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.0,0.0,1.0,1.0
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,1.0,1.0,0.17956017472297756,0.901864988091224
0.1857,0.1165,0.4962,0.3767,0.5447,0.3063,0.8691185150666483,0.0,0.3756779656459433,0.0
